Healthy Neighborhoods Project: Using Ecological Data to Improve Community Health
Neville Subproject: Using Random Forestes, Factor Analysis, and Logistic regression to Screen Variables for Imapcts on Public Health
NHANES 2015-2016: Detecting different factors between individuals with a BMI over 30 and are between 40 and 70 that have pre-diabates and have diabetes
The Python Programming Langauge Script by DrewC!


Factor Analysis Results: Prediabetes Subcohort

Kaiser-Meyer-Olkin Test
0.6450032987495816

Raw Eigenvalues
           0          1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23       24        25        26       27        28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100  101  102  103  104  105  106  107  108  109  110  111  112  113  114  115  116  117  118  119  120
0  20.988623  12.633453  7.158887  5.699169  4.671995  4.256477  3.868587  3.061194  3.031976  2.687521  2.468155  2.358608  2.295420  2.021663  1.923071  1.901090  1.848209  1.703077  1.586164  1.486465  1.429809  1.337454  1.290701  1.240805  1.14748  1.096033  1.065036  1.04977  1.016955 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
1  20.526093  12.077335  6.604365  5.034715  3.972122  3.426789  3.115927  2.332441  2.235801  1.910218  1.730810  1.568966  1.430544  1.259083  1.158151  1.082407  1.050754       NaN       NaN       NaN       NaN       NaN       NaN       NaN      NaN       NaN       NaN      NaN       NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN

Factor Loadings
      Features  Factors  Loadings
1223    MCQ203       16  0.512938
66      AUQ146       15  1.105960
1086   MCQ160D       15  0.912879
1289   MCQ300C       14  0.746396
1272   MCQ300B       14  0.854866
1255   MCQ300A       14  0.986980
1594    OHQ850       13  0.891830
1118   MCQ160F       13  0.866597
2034    SMQ874       11  0.580280
27      AUQ136       10  0.731013
1064   MCQ160C       10  0.718396
1385   MCQ370B        8  0.656512
807     HUQ020        8  0.555471
1742    PAQ650        8  0.595602
1759    PAQ665        8  0.522913
1520    OHQ640        7  0.603544
1672  OHDRCSTS        6  1.029829
1638  OHDEXSTS        6  1.029829
1655  OHDDESTS        6  1.029829
1943    SMQ910        5  0.740638
1909    SMQ890        5  0.699036
345   DMQMILIZ        5  0.585531
277   RIAGENDR        5  0.991845
1228    MCQ220        4  0.728868
1619    OHQ880        4  0.568302
139     BPQ080        3  0.675554
207     DBQ229        3  0.639898
1771    PAD680        3  0.808624
1839    PFQ057        3  0.710169
1193   MCQ160O        3  0.923272
1397   MCQ370C        3  0.906105
1414   MCQ370D        3  0.906388
1363   MCQ370A        3  0.911508
1345   MCQ365D        2  1.049042
1294   MCQ365A        2  1.028003
1328   MCQ365C        2  0.758270
121     BPQ020        2  0.503925
971     MCQ080        2  0.826998
1311   MCQ365B        2  0.983507
766     HIQ011        1  0.577542
239     CBQ505        1  0.576613
409    SIALANG        1  0.892914
2041    SMQ878        1  0.509874
868     IMQ011        1  0.582721
885     IMQ020        1  0.558670
1530    OHQ680        0  0.676232
1819    PFQ054        0  0.856524
1003   MCQ160A        0  0.570249
153     CDQ001        0  0.681089
1921    SMQ900        0  0.646776
170     CDQ010        0  0.770699
1887    SMQ020        0  0.508856
1870    SLQ050        0  0.693469
1853    PFQ090        0  0.838366
1802    PFQ051        0  0.952146
850     HUQ090        0  0.667830
1785    PFQ049        0  0.980983
1462   OCD390G        0  0.667159
646     DLQ020        0  0.553397
1496    OHQ620        0  0.561029
680     DLQ050        0  0.907739
697     DLQ060        0  0.818210
714     DLQ080        0  0.905321
663     DLQ040        0  0.842579


Factor Analysis Results: Diabetes Subcohort

Kaiser-Meyer-Olkin Test
0.5513272237021398
Raw Eigenvalues
