,Feature,Label,Full
2,DP02_0001PE,HOUSEHOLDS BY TYPE Total households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households
6,DP02_0002PE,HOUSEHOLDS BY TYPE Total households Family households (families),Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)
10,DP02_0003PE,HOUSEHOLDS BY TYPE Total households Family households (families) With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years
14,DP02_0004PE,HOUSEHOLDS BY TYPE Total households Family households (families) Married-couple family,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family
18,DP02_0005PE,HOUSEHOLDS BY TYPE Total households Family households (families) Married-couple family With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years
22,DP02_0006PE,"HOUSEHOLDS BY TYPE Total households Family households (families) Male householder, no wife present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family"
26,DP02_0007PE,"HOUSEHOLDS BY TYPE Total households Family households (families) Male householder, no wife present, family With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years"
30,DP02_0008PE,"HOUSEHOLDS BY TYPE Total households Family households (families) Female householder, no husband present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family"
34,DP02_0009PE,"HOUSEHOLDS BY TYPE Total households Family households (families) Female householder, no husband present, family With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years"
38,DP02_0010PE,HOUSEHOLDS BY TYPE Total households Nonfamily households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
42,DP02_0011PE,HOUSEHOLDS BY TYPE Total households Nonfamily households Householder living alone,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
46,DP02_0012PE,HOUSEHOLDS BY TYPE Total households Nonfamily households Householder living alone 65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
50,DP02_0013PE,HOUSEHOLDS BY TYPE Total households Households with one or more people under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
54,DP02_0014PE,HOUSEHOLDS BY TYPE Total households Households with one or more people 65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over
58,DP02_0015PE,HOUSEHOLDS BY TYPE Total households Average household size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size
62,DP02_0016PE,HOUSEHOLDS BY TYPE Total households Average family size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
66,DP02_0017PE,RELATIONSHIP Population in households,Percent Estimate!!RELATIONSHIP!!Population in households
70,DP02_0018PE,RELATIONSHIP Population in households Householder,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder
74,DP02_0019PE,RELATIONSHIP Population in households Spouse,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse
78,DP02_0020PE,RELATIONSHIP Population in households Child,Percent Estimate!!RELATIONSHIP!!Population in households!!Child
