Feature,Label
AHRF0,# <19 no HlthIns <=138% Poverty
AHRF1,# <19 no HlthIns <=200% Poverty
AHRF2,# <19 no HlthIns <=400% Poverty
AHRF3,# <19 w/HlthIns <=138% Poverty
AHRF4,# <19 w/HlthIns <=200% Poverty
AHRF5,# <19 w/HlthIns <=400% Poverty
AHRF6,# <65 no HlthIns <=138% Poverty
AHRF7,# <65 no HlthIns <=200% Poverty
AHRF8,# <65 no HlthIns <=400% Poverty
AHRF9,# <65 w/Hlth Ins <=138% Poverty
AHRF10,# <65 w/Hlth Ins <=200% Poverty
AHRF11,# <65 w/Hlth Ins <=400% Poverty
AHRF12,# Active Dentists 35-44 Non-Fed
AHRF13,# Active Dentists 45-54 Non-Fed
AHRF14,# Active Dentists 55-64 Non-Fed
AHRF15,# Active Dentists 65 + Non-Fed
AHRF16,# Active Dentists < 35 Non-Fed
AHRF17,# Active Dentists Age Unknown Non-Fed
AHRF18,# Acute Long-Term Care LT Hosps
AHRF19,# Acute Long-Term Care ST Hosps
AHRF20,# Airborne Infection Isol Rooms ST Non-Gen + Long Term Hosps
AHRF21,# Airborne Infection Isol Rooms Short Term General Hospitals
AHRF22,# Ambulatory Surgery Centers
AHRF23,# Children's Gen Med/Srg ST Hsp
AHRF24,# Children's Psych LT Hosps
AHRF25,# Children's Psych ST Hosps
AHRF26,# Chronic Disease LT Hosps
AHRF27,# Community Health Centers Grantees Only
AHRF28,# Community Mental Health Ctrs
AHRF29,# Critical Access Hospitals
AHRF30,# Critical Access ST Gen Hosps
AHRF31,# Days Air Quality is Measured
AHRF32,# Designted Txc Site Undr Cntrl
AHRF33,# Eligible for Medicare
AHRF34,"# FTE All Oth Personnel,VA Hosp Incl NH; Res,Train,LPN/LVNandOth"
AHRF35,# FTE L.P.N.s and L.V.N.s Incl Nurs Homes; ST Gen Hosps
AHRF36,# FTE L.P.N.s and L.V.N.s Incl Nurs Homes; STNG/LT Hosps
AHRF37,# FTE Medical and Dental Residnts Incl Nurs Homes; ST Gen Hosps
AHRF38,# FTE Medical and Dental Residnts Incl Nurs Homes; STNG/LT Hosps
AHRF39,# FTE Other Personnel Incl Nurs Homes; ST Gen Hosps
AHRF40,# FTE Other Personnel Incl Nurs Homes; STNG/LT Hosps
AHRF41,# FTE Other Trainees Incl Nurs Homes; ST Gen Hosps
AHRF42,# FTE Other Trainees Incl Nurs Homes; STNG/LT Hosps
AHRF43,# FTE Physicians and Dentists Incl Nurs Homes; ST Gen Hosps
AHRF44,# FTE Physicians and Dentists Incl Nurs Homes; STNG/LT Hosps
AHRF45,# FTE Physicians and Dentists Incl Nurs Homes;Veterans Hosps
AHRF46,# FTE R.N.s Incl Nurs Homes; ST Gen Hosps
AHRF47,# FTE R.N.s Incl Nurs Homes; STNG/LT Hosps
AHRF48,# FTE R.N.s Incl Nurs Homes;Veterans Hosps
AHRF49,# FTE Tot Nurs Home Personnel ST Non-Gen + Long Term Hosps
AHRF50,# FTE Tot Nurs Home Personnel Short Term General Hospitals
AHRF51,# FTE Total Facility Personnel Incl Nurs Homes; ST Gen Hosps
AHRF52,# FTE Total Facility Personnel Incl Nurs Homes; STNG/LT Hosps
AHRF53,# FTE Total Hospital Personnel ST Non-Gen + Long Term Hosps
AHRF54,# FTE Total Hospital Personnel Short Term General Hospitals
AHRF55,# FTE Total Trainees Incl Nurs Homes; ST Gen Hosps
AHRF56,# FTE Total Trainees Incl Nurs Homes; STNG/LT Hosps
