,Unnamed: 0,IndustryClassification,Label,Unit,TableName,LineCode,Feature
0,33931,...,Private services-providing industries 3/,Thousands of chained 2012 dollars,CAGDP9,92.0,CAGDP9_92.0_YEAR
1,55554,...,Private goods-producing industries 2/,Thousands of chained 2012 dollars,CAGDP9,91.0,CAGDP9_91.0_YEAR
2,30801,...,Manufacturing and information,Thousands of chained 2012 dollars,CAGDP9,90.0,CAGDP9_90.0_YEAR
3,84316,...,Transportation and utilities,Thousands of chained 2012 dollars,CAGDP9,89.0,CAGDP9_89.0_YEAR
4,17029,"42, 44-45",Trade,Thousands of chained 2012 dollars,CAGDP9,88.0,CAGDP9_88.0_YEAR
5,94650,"11, 21",Natural resources and mining,Thousands of chained 2012 dollars,CAGDP9,87.0,CAGDP9_87.0_YEAR
6,34775,...,Government and government enterprises,Thousands of chained 2012 dollars,CAGDP9,83.0,CAGDP9_83.0_YEAR
7,83190,81,  Other services (except government and government enterprises),Thousands of chained 2012 dollars,CAGDP9,82.0,CAGDP9_82.0_YEAR
8,7029,72,   Accommodation and food services,Thousands of chained 2012 dollars,CAGDP9,79.0,CAGDP9_79.0_YEAR
9,4818,71,"   Arts, entertainment, and recreation",Thousands of chained 2012 dollars,CAGDP9,76.0,CAGDP9_76.0_YEAR
10,55511,"71, 72","  Arts, entertainment, recreation, accommodation, and food services",Thousands of chained 2012 dollars,CAGDP9,75.0,CAGDP9_75.0_YEAR
11,82608,62,   Health care and social assistance,Thousands of chained 2012 dollars,CAGDP9,70.0,CAGDP9_70.0_YEAR
12,12125,61,   Educational services,Thousands of chained 2012 dollars,CAGDP9,69.0,CAGDP9_69.0_YEAR
13,81484,"61, 62","  Educational services, health care, and social assistance",Thousands of chained 2012 dollars,CAGDP9,68.0,CAGDP9_68.0_YEAR
14,75975,56,   Administrative and support and waste management and remediation services,Thousands of chained 2012 dollars,CAGDP9,65.0,CAGDP9_65.0_YEAR
15,97156,55,   Management of companies and enterprises,Thousands of chained 2012 dollars,CAGDP9,64.0,CAGDP9_64.0_YEAR
16,48569,54,"   Professional, scientific, and technical services",Thousands of chained 2012 dollars,CAGDP9,60.0,CAGDP9_60.0_YEAR
17,75959,21,"  Mining, quarrying, and oil and gas extraction",Thousands of chained 2012 dollars,CAGDP9,6.0,CAGDP9_6.0_YEAR
18,11780,"54, 55, 56",  Professional and business services,Thousands of chained 2012 dollars,CAGDP9,59.0,CAGDP9_59.0_YEAR
19,60467,53,   Real estate and rental and leasing,Thousands of chained 2012 dollars,CAGDP9,56.0,CAGDP9_56.0_YEAR
20,68660,52,   Finance and insurance,Thousands of chained 2012 dollars,CAGDP9,51.0,CAGDP9_51.0_YEAR
21,90079,"52, 53","  Finance, insurance, real estate, rental, and leasing",Thousands of chained 2012 dollars,CAGDP9,50.0,CAGDP9_50.0_YEAR
22,37106,51,  Information,Thousands of chained 2012 dollars,CAGDP9,45.0,CAGDP9_45.0_YEAR
