,COUNTY,COUNTY_L,FIPS,NAME,NAME_L,ST,STATE,STCOUNTYFP,STATE_L,ZCTA,ZIP
0,WRANGELL CITY AND BOROUGH,Wrangell City and Borough,FIPS02275,WRANGELL,Wrangell,AK,ALASKA,02275,Alaska,ZCTA99929,99929
1,KETCHIKAN GATEWAY BOROUGH,Ketchikan Gateway Borough,FIPS02130,KETCHIKAN GATEWAY,Ketchikan Gateway,AK,ALASKA,02130,Alaska,ZCTA99928,99928
2,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99927,99927
3,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99926,99926
4,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99925,99925
5,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99923,99923
6,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99922,99922
7,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99921,99921
8,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99919,99919
9,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,FIPS02198,PRINCE OF WALES-HYDER,Prince of Wales-Hyder,AK,ALASKA,02198,Alaska,ZCTA99918,99918
10,WRANGELL CITY AND BOROUGH,Wrangell City and Borough,FIPS02275,WRANGELL,Wrangell,AK,ALASKA,02275,Alaska,ZCTA99903,99903
11,KETCHIKAN GATEWAY BOROUGH,Ketchikan Gateway Borough,FIPS02130,KETCHIKAN GATEWAY,Ketchikan Gateway,AK,ALASKA,02130,Alaska,ZCTA99901,99901
12,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99841,99841
13,SKAGWAY MUNICIPALITY,Skagway Municipality,FIPS02230,SKAGWAY MUNICIPALITY,Skagway Municipality,AK,ALASKA,02230,Alaska,ZCTA99840,99840
14,PETERSBURG CENSUS AREA,Petersburg Census Area,FIPS02195,PETERSBURG,Petersburg,AK,ALASKA,02195,Alaska,ZCTA99836,99836
15,SITKA CITY AND BOROUGH,Sitka City and Borough,FIPS02220,SITKA,Sitka,AK,ALASKA,02220,Alaska,ZCTA99835,99835
16,PETERSBURG CENSUS AREA,Petersburg Census Area,FIPS02195,PETERSBURG,Petersburg,AK,ALASKA,02195,Alaska,ZCTA99833,99833
17,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99832,99832
18,PETERSBURG CENSUS AREA,Petersburg Census Area,FIPS02195,PETERSBURG,Petersburg,AK,ALASKA,02195,Alaska,ZCTA99830,99830
19,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99829,99829
20,HAINES BOROUGH,Haines Borough,FIPS02100,HAINES,Haines,AK,ALASKA,02100,Alaska,ZCTA99827,99827
21,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99826,99826
22,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99825,99825
23,JUNEAU CITY AND BOROUGH,Juneau City and Borough,FIPS02110,JUNEAU,Juneau,AK,ALASKA,02110,Alaska,ZCTA99824,99824
24,HOONAH-ANGOON CENSUS AREA,Hoonah-Angoon Census Area,FIPS02105,HOONAH-ANGOON,Hoonah-Angoon,AK,ALASKA,02105,Alaska,ZCTA99820,99820
25,JUNEAU CITY AND BOROUGH,Juneau City and Borough,FIPS02110,JUNEAU,Juneau,AK,ALASKA,02110,Alaska,ZCTA99811,99811
26,JUNEAU CITY AND BOROUGH,Juneau City and Borough,FIPS02110,JUNEAU,Juneau,AK,ALASKA,02110,Alaska,ZCTA99801,99801
27,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99791,99791
28,FAIRBANKS NORTH STAR BOROUGH,Fairbanks North Star Borough,FIPS02090,FAIRBANKS NORTH STAR,Fairbanks North Star,AK,ALASKA,02090,Alaska,ZCTA99790,99790
29,NORTH SLOPE BOROUGH,North Slope Borough,FIPS02185,NORTH SLOPE,North Slope,AK,ALASKA,02185,Alaska,ZCTA99789,99789
